Dec 29 - Jan 04,6:35,12:35,3:05,5:25,7:30,2020 start
Jan 05 - Jan 11,6:35,12:40,3:15,5:30,7:30,
Jan 12 - Jan 18,6:35,12:40,3:20,5:40,7:30,
Jan 19 - Jan 25,6:30,12:45,3:25,5:45,7:30,
Jan 26 - Feb 01,6:30,12:45,3:30,5:55,7:30,
Feb 02 - Feb 08,6:20,12:50,3:40,6:00,7:30,
Feb 09 - Feb 15,6:15,12:50,3:45,6:10,7:30,
Feb 16 - Feb 22,6:05,12:50,3:50,6:15,7:30,
Feb 23 - Feb 29,6:00,12:45,3:55,6:20,7:35,
Mar 01 - Mar 07,5:50,12:45,4:00,6:30,7:40,
Mar 08 - Mar 14,6:40,1:45,5:05,7:35,8:45,
Mar 15 - Mar 21,6:30,1:40,5:05,7:40,8:55,
Mar 22 - Mar 28,6:20,1:40,5:10,7:50,9:00,
Mar 29 - Apr 04,6:05,1:35,5:10,7:55,9:10,
Apr 05 - Apr 11,5:55,1:35,5:15,8:00,9:15,
Apr 12 - Apr 18,5:45,1:35,5:15,8:05,9:25,
Apr 19 - Apr 25,5:35,1:30,5:15,8:15,9:30,
Apr 26 - May 02,5:25,1:30,5:20,8:20,9:40,
May 03 - May 09,5:15,1:30,5:20,8:25,9:50,
May 10 - May 16,5:05,1:30,5:20,8:30,9:55,
May 17 - May 23,5:00,1:30,5:20,8:35,10:05,
May 24 - May 30,5:00,1:30,5:20,8:45,10:10,
May 31 - Jun 06,5:00,1:30,5:25,8:45,10:15,
Jun 07 - Jun 13,5:00,1:35,5:25,8:50,10:20,
Jun 14 - Jun 20,5:00,1:35,5:25,8:55,10:25,
Jun 21 - Jun 27,5:00,1:35,5:30,8:55,10:25,
Jun 28 - Jul 04,5:00,1:35,5:30,8:55,10:25,
Jul 05 - Jul 11,5:00,1:40,5:30,8:55,10:25,
Jul 12 - Jul 18,5:00,1:40,5:30,8:50,10:20,
Jul 19 - Jul 25,5:10,1:40,5:30,8:45,10:15,
Jul 26 - Aug 01,5:15,1:40,5:30,8:40,10:05,
Aug 02 - Aug 08,5:25,1:40,5:30,8:35,10:00,
Aug 09 - Aug 15,5:30,1:40,5:25,8:30,9:50,
Aug 16 - Aug 22,5:40,1:35,5:20,8:20,9:40,
Aug 23 - Aug 29,5:45,1:35,5:15,8:10,9:25,
Aug 30 - Sep 05,5:55,1:35,5:10,8:00,9:15,
Sep 06 - Sep 12,6:00,1:30,5:05,7:50,9:05,
Sep 13 - Sep 19,6:10,1:30,5:00,7:40,8:55,
Sep 20 - Sep 26,6:15,1:25,4:50,7:30,8:40,
Sep 27 - Oct 03,6:20,1:25,4:45,7:20,8:30,
Oct 04 - Oct 10,6:25,1:20,4:35,7:10,8:20,
Oct 11 - Oct 17,6:35,1:20,4:30,7:00,8:10,
Oct 18 - Oct 24,6:40,1:20,4:20,6:50,8:00,
Oct 25 - Oct 31,6:45,1:20,4:15,6:40,7:50,
Nov 01 - Nov 07,5:50,12:20,3:10,5:30,7:30,
Nov 08 - Nov 14,6:00,12:20,3:05,5:25,7:30,
Nov 15 - Nov 21,6:05,12:20,3:00,5:20,7:30,
Nov 22 - Nov 28,6:10,12:20,3:00,5:15,7:30,
Nov 29 - Dec 05,6:15,12:20,3:00,5:10,7:30,
Dec 06 - Dec 12,6:20,12:25,3:00,5:10,7:30,
Dec 13 - Dec 19,6:25,12:30,3:00,5:15,7:30,
Dec 20 - Dec 26,6:30,12:30,3:00,5:20,7:30,
Dec 27 - Jan 02,6:35,12:35,3:05,5:25,7:30,2021 start
Jan 03 - Jan 09,6:35,12:40,3:10,5:30,7:30,
Jan 10 - Jan 16,6:35,12:40,3:15,5:35,7:30,
Jan 17 - Jan 23,6:35,12:45,3:25,5:45,7:30,
Jan 24 - Jan 30,6:30,12:45,3:30,5:50,7:30,
Jan 31 - Feb 06,6:25,12:50,3:35,6:00,7:30,
Feb 07 - Feb 13,6:15,12:50,3:45,6:05,7:30,
Feb 14 - Feb 20,6:10,12:50,3:50,6:15,7:30,
Feb 21 - Feb 27,6:00,12:45,3:55,6:20,7:35,
Feb 28 - Mar 06,5:50,12:45,4:00,6:30,7:40,
Mar 07 - Mar 13,5:40,12:45,4:00,6:35,7:45,
Mar 14 - Mar 20,6:30,1:40,5:05,7:40,8:55,
Mar 21 - Mar 27,6:20,1:40,5:10,7:45,9:00,
Mar 28 - Apr 03,6:10,1:40,5:10,7:55,9:05,
Apr 04 - Apr 10,5:55,1:35,5:15,8:00,9:15,
Apr 11 - Apr 17,5:45,1:35,5:15,8:05,9:20,
Apr 18 - Apr 24,5:35,1:30,5:15,8:10,9:30,
Apr 25 - May 01,5:25,1:30,5:15,8:20,9:40,
May 02 - May 08,5:15,1:30,5:20,8:25,9:45,
May 09 - May 15,5:05,1:30,5:20,8:30,9:55,
May 16 - May 22,5:00,1:30,5:20,8:35,10:05,
May 23 - May 29,5:00,1:30,5:20,8:40,10:10,
May 30 - Jun 05,5:00,1:30,5:25,8:45,10:15,
Jun 06 - Jun 12,5:00,1:35,5:25,8:50,10:20,
Jun 13 - Jun 19,5:00,1:35,5:25,8:50,10:25,
Jun 20 - Jun 26,5:00,1:35,5:30,8:55,10:25,
Jun 27 - Jul 03,5:00,1:35,5:30,8:55,10:25,
Jul 04 - Jul 10,5:00,1:40,5:30,8:55,10:25,
Jul 11 - Jul 17,5:00,1:40,5:30,8:50,10:20,
Jul 18 - Jul 24,5:05,1:40,5:30,8:50,10:15,
Jul 25 - Jul 31,5:15,1:40,5:30,8:45,10:05,
Aug 01 - Aug 07,5:20,1:40,5:30,8:35,10:00,
Aug 08 - Aug 14,5:30,1:40,5:25,8:30,9:50,
